cell_id	framework	compatibility_domain	product_family	profile_axes	public_default_reachability	pre_train_state	target_disposition	target_maturity	owner	acceptance_id	notes
VUE-PARSE-LOCAL	Vue	core@3.6.0-rc.3	ParseDiagnostics	SFC normal/setup; JS/TS; recovery/rejection	reachable through host/public file routes	VERIFY	supported	Supported	B2	FC-CAPABILITY-001	Framework-local parsed identities; syntax cases assigned to B2.
VUE-VDOM-CLIENT	Vue	core@3.6.0-rc.3	RuntimeClient-VDOM	dev/prod; inline/separate; maps on/off; normal/setup; JS/TS	reachable/default in current Vue client routes	VERIFY and BF3 probe	supported	Supported	BV1	FC-VUE-001	Exhaustive core axes; secondary options pairwise/high-risk.
VUE-VAPOR-CLIENT	Vue	core@3.6.0-rc.3	RuntimeClient-Vapor	dev/prod; inline/separate; maps on/off; normal/setup; JS/TS	reachable when force_vapor/profile selects it	VERIFY and BF3 probe	supported	Preview	BV1	FC-VUE-001	Separate capability family; upstream RC prevents Stable.
VUE-SSR	Vue	core@3.6.0-rc.3	RuntimeServer-SSR	dev/prod; maps on/off; normal/setup; JS/TS	reachable when server/ssr product requested	VERIFY and BF3 probe	supported	Supported	BV1	FC-VUE-001	Official SSR compiler topology and runtime executor.
VUE-SSR-VAPOR-BACKEND	Vue	core@3.6.0-rc.3	RuntimeServer-Vapor	ssr=true plus request for vapor compiler backend	potentially constructible through legacy flags	unsafe/ambiguous	unsupported fail-closed	Experimental	B3	FC-OPTIONS-001	RC.3 does not define a Cartesian Vapor server compiler; supported SSR may carry only official Vapor metadata.
VUE-MACRO-LOCAL	Vue	core@3.6.0-rc.3	Runtime+TypeProducts	script setup source-local macros; dev/prod; client/server	reachable	VERIFY and BF3 probe	supported	Supported	BV1	FC-VUE-001	No project provider required.
VUE-MACRO-IMPORTED	Vue	core@3.6.0-rc.3	Runtime+TypeProducts	imported/project-aware types	reachable on project-aware routes	VERIFY	projection-required	Preview	BV1+C3	FC-TS-001	BV1 emits closed typed demands; C3 fulfils them.
VUE-SCOPED-SLOTTED	Vue	core@3.6.0-rc.3	RuntimeClient+RuntimeServer	scoped/slotted metadata; CSS vars; maps on/off	reachable	VERIFY and BF3 probe	supported	Supported	BV1	FC-VUE-001	CSS variables that affect generated code are semantic input.
VUE-CUSTOM-ELEMENT	Vue	core@3.6.0-rc.3	RuntimeClient	dev/prod; normal/setup; maps on/off	reachable via current custom-element settings	VERIFY and BF3 probe	supported	Preview	BV1	FC-VUE-001	Canonical matcher/options only.
VUE-TEMPLATE-OPTIONS	Vue	core@3.6.0-rc.3	RuntimeClient+RuntimeServer	comments; whitespace; delimiters; hoist; cache; bindings; components; directives; events; props/attrs; class/style; slots; fragments; Teleport; Suspense	reachable through mixed current flags/defaults	VERIFY and BF3 probe	supported	Supported	BV1	FC-VUE-001	No public option silently ignored.
VUE-ASYNC-SETUP	Vue	core@3.6.0-rc.3	RuntimeClient+RuntimeServer	async setup; Suspense; hydration	reachable	VERIFY and BF3 probe	supported	Preview	BV1	FC-HYDRATION-001	Requires client/server/runtime and cross-pair evidence.
VUE-PUBLIC-API	Vue	core@3.6.0-rc.3 + owned TS domain	PublicApi	public/testing where established; local/project-aware	reachable through host/NAPI/WASM products	VERIFY and BF3 probe	supported	Supported	BV1+C3	FC-TS-001	Testing-only API modes remain test-only, not public widening.
VUE-TSC	Vue	core@3.6.0-rc.3 + owned TS domain	Tsc/TSX	local/project-aware; JS/TS; macro variants	reachable	VERIFY and BF3 probe	supported	Supported	BV1+C3	FC-TS-001	TypeScript compiler/API oracle; language-tools excluded.
VUE-DECLARATION	Vue	core@3.6.0-rc.3 + owned TS domain	Declaration	local/project-aware; JS/TS; macros	reachable	VERIFY and BF3 probe	supported	Preview	BV1+C3	FC-TS-001	Established declaration product only.
VUE-COMPAT-V2	Vue	core@3.6.0-rc.3	all	compatConfig and compiler deprecations	legacy carrier may not express it	unclassified	unsupported fail-closed	Experimental	B3	FC-OPTIONS-001	No Vue 2 compatibility claim.
VUE-OTHER-VERSION	Vue	anything other than core@3.6.0-rc.3	all	any profile	current repository pins include 3.5.34 and RC.1	version-incompatible	version-incompatible	Experimental	BF1	FC-DOMAIN-001	No AMD-005 oracle or success claim outside exact RC.3.
SVELTE-PARSE-LOCAL	Svelte	svelte@5.56.8	ParseDiagnostics	component; module where claimed; strict errors/recovery; loose requests fail closed	reachable through Svelte file routes	VERIFY	supported	Supported	B2	FC-CAPABILITY-001	Strict parser diagnostics/recovery only; filename is officially unused, loose is unsupported fail-closed, and modern/legacy official AST return modes are not applicable.
SVELTE-CLIENT-RUNES	Svelte	svelte@5.56.8	RuntimeClient	runes; dev/prod; maps on/off; comments/whitespace; HTML/SVG/MathML where claimed	reachable through current Svelte client route	VERIFY and BF3 probe	supported	Supported	BS1	FC-SVELTE-001	Svelte-native helpers/effects/blocks/events/component/DOM topology.
SVELTE-CLIENT-LEGACY	Svelte	svelte@5.56.8	RuntimeClient	legacy where official/applicable; dev/prod; maps on/off	reachable/default behavior may select legacy	VERIFY and BF3 probe	supported	Supported	BS1	FC-SVELTE-001	Every claimed legacy form needs manifest coverage.
SVELTE-SERVER-RUNES	Svelte	svelte@5.56.8	RuntimeServer	runes; dev/prod; maps on/off	current backend explicitly unavailable/fail-closed	unsupported today	supported	Preview	BS1	FC-SVELTE-001	No success until complete official server pack.
SVELTE-SERVER-LEGACY	Svelte	svelte@5.56.8	RuntimeServer	legacy where official/applicable; dev/prod; maps on/off	current backend explicitly unavailable/fail-closed	unsupported today	supported	Preview	BS1	FC-SVELTE-001	Separate capability evidence from runes.
SVELTE-COMPONENT	Svelte	svelte@5.56.8	RuntimeClient+RuntimeServer	component compile; scripts/styles/templates	reachable	VERIFY and BF3 probe	supported	Supported	BS1	FC-SVELTE-001	Established SFC/component compilation.
SVELTE-MODULE	Svelte	svelte@5.56.8	ModuleJavaScript	module compilation; client/server	claim not proven at package preparation	VERIFY	unsupported fail-closed	Experimental	B3+BS1	FC-CAPABILITY-001	May be promoted only if BF1 proves an established product claim; no automatic widening.
SVELTE-SEMANTIC-CORE	Svelte	svelte@5.56.8	RuntimeClient+RuntimeServer	snippets; blocks; effects; events; bindings; actions; transitions/animations; stores; context; slots/children; components; dynamic elements/components; boundaries; async	reachable in portions	VERIFY and BF3 probe	supported	Supported	BS1	FC-SVELTE-001	Every claimed feature uses Svelte-native topology.
SVELTE-CUSTOM-ELEMENT	Svelte	svelte@5.56.8	RuntimeClient	customElement boolean; inline tag/shadow/per-prop attribute/reflect/type; dev/prod; maps on/off; extend fails closed	current exposure incomplete	VERIFY	supported	Preview	BS1	FC-SVELTE-001	Canonical source-authored custom-element descriptor fields are claimed; arbitrary extend callback/identifier remains unsupported fail-closed.
SVELTE-ASYNC-EXPERIMENTAL	Svelte	svelte@5.56.8	RuntimeClient+RuntimeServer	experimental.async; boundaries; hydration	current claim not proven	VERIFY	experimental	Experimental	BS1	FC-HYDRATION-001	Explicit request only; never enabled by unknown option.
SVELTE-HYDRATION	Svelte	svelte@5.56.8	RuntimeClient+RuntimeServer	dev/prod; runes/legacy where applicable	reachable client; server absent	VERIFY	supported	Preview	BS1	FC-HYDRATION-001	Official/official control, Verter/Verter, meaningful cross-pair.
