surface	option	classification	canonical treatment / refusal
compiler-core:ParserOptions	onWarn	derived	Diagnostic sink is derived from the atomic request; no caller callback crosses the core.
compiler-core:ParserOptions	onError	derived	Diagnostic sink is derived from the atomic request; no caller callback crosses the core.
compiler-core:ParserOptions	compatConfig	unsupported fail-closed	Vue-2 compatibility behavior is outside the RC.3 capability lock.
compiler-core:ParserOptions	compatConfig.MODE	unsupported fail-closed	No silent Vue-2/Vue-3 compatibility mode switching.
compiler-core:ParserOptions	compatConfig.COMPILER_IS_ON_ELEMENT	unsupported fail-closed	Compiler deprecation behavior cannot be ignored.
compiler-core:ParserOptions	compatConfig.COMPILER_V_BIND_SYNC	unsupported fail-closed	Compiler deprecation behavior cannot be ignored.
compiler-core:ParserOptions	compatConfig.COMPILER_V_IF_V_FOR_PRECEDENCE	unsupported fail-closed	Compiler deprecation behavior cannot be ignored.
compiler-core:ParserOptions	compatConfig.COMPILER_V_BIND_OBJECT_ORDER	unsupported fail-closed	Compiler deprecation behavior cannot be ignored.
compiler-core:ParserOptions	compatConfig.COMPILER_V_ON_NATIVE	unsupported fail-closed	Compiler deprecation behavior cannot be ignored.
compiler-core:ParserOptions	compatConfig.COMPILER_NATIVE_TEMPLATE	unsupported fail-closed	Compiler deprecation behavior cannot be ignored.
compiler-core:ParserOptions	compatConfig.COMPILER_INLINE_TEMPLATE	unsupported fail-closed	Compiler deprecation behavior cannot be ignored.
compiler-core:ParserOptions	compatConfig.COMPILER_FILTERS	unsupported fail-closed	Compiler deprecation behavior cannot be ignored.
compiler-core:ParserOptions	parseMode	derived	Derived from SFC/template/product context; not caller-selectable after parsing starts.
compiler-core:ParserOptions	ns	derived	Initial namespace derives from the source/product context.
compiler-core:ParserOptions	isNativeTag	derived	RC.3 platform semantics select the predicate.
compiler-core:ParserOptions	isVoidTag	derived	RC.3 DOM semantics select the predicate.
compiler-core:ParserOptions	isPreTag	derived	RC.3 DOM semantics select the predicate.
compiler-core:ParserOptions	isIgnoreNewlineTag	derived	RC.3 DOM semantics select the predicate.
compiler-core:ParserOptions	isBuiltInComponent	derived	RC.3 VDOM/Vapor family supplies the built-in set.
compiler-core:ParserOptions	isCustomElement	supported canonical	Canonical custom-element matcher/prefix set in the Vue request.
compiler-core:ParserOptions	getNamespace	derived	RC.3 platform namespace rules; no public callback authority.
compiler-core:ParserOptions	delimiters	supported canonical	Exact two-string delimiter tuple.
compiler-core:ParserOptions	whitespace	supported canonical	Canonical preserve/condense policy.
compiler-core:ParserOptions	decodeEntities	host-resolved	Host decoder is selected by environment but must match the RC.3 entity contract.
compiler-core:ParserOptions	comments	supported canonical	Explicit boolean; profile default is normalized by B3.
compiler-core:ParserOptions	prefixIdentifiers	derived	Forced by product/backend topology where official API requires it.
compiler-core:ParserOptions	expressionPlugins	host-resolved	Derived from script language plus explicitly normalized parser plugins.
compiler-core:TransformOptions	nodeTransforms	test-only	Official-oracle extension hook only; production request rejects it.
compiler-core:TransformOptions	directiveTransforms	test-only	Official-oracle extension hook only; production request rejects it.
compiler-core:TransformOptions	transformHoist	derived	Selected by the framework backend.
compiler-core:TransformOptions	onWarn	derived	Same atomic diagnostic sink as parser warnings.
compiler-core:TransformOptions	onError	derived	Same atomic diagnostic sink as parser errors.
compiler-core:TransformOptions	compatConfig	unsupported fail-closed	Same complete Vue-2 compatibility refusal as ParserOptions.
compiler-core:TransformOptions	isBuiltInComponent	derived	RC.3 VDOM/Vapor family supplies the built-in set.
compiler-core:TransformOptions	isCustomElement	supported canonical	Same canonical matcher/prefix set used by parsing.
compiler-core:TransformOptions	hoistStatic	supported canonical	Explicit normalized semantic option.
compiler-core:TransformOptions	cacheHandlers	supported canonical	Explicit normalized semantic option.
compiler-core:TransformOptions	scopeId	derived	Derived from SFC identity and scoped-style plan.
compiler-core:TransformOptions	slotted	derived	Derived from SFC scoped/slotted metadata.
compiler-core:TransformOptions	ssrCssVars	derived	Derived from analyzed SFC CSS variables for server products.
compiler-core:TransformOptions	hmr	supported canonical	Explicit development/HMR profile where route supports it.
compiler-core:SharedTransformCodegenOptions	prefixIdentifiers	derived	Same canonical derived setting as parser/transform phase.
compiler-core:SharedTransformCodegenOptions	expressionPlugins	host-resolved	Same normalized parser-plugin domain.
compiler-core:SharedTransformCodegenOptions	ssr	derived	Derived from requested RuntimeServer product.
