owner_id	current_path_or_symbol	current_role	disposition	acceptance_owner	evidence / required final state
EM-001	crates/verter_compiler/src/code_transform/*	shared ordered edit engine	Converged	B4	Recount (fresh `grep -rn "CodeTransform::new("` over `crates/verter_compiler/src`, excluding rustdoc `///`/`//!` examples and every `#[cfg(test)]`/inline `mod tests` body — the original "21 sites/12 files" figure wrongly counted 7 test-only sites, 6 in `ide/template/directives.rs` and 1 in `template/code_gen/vdom/comment.rs`, both entirely inside their file's trailing `mod tests`): **18 production construction call sites across 10 files total — 15 non-CSS sites across 8 non-CSS files, plus 3 CSS sites across 2 files** (`style_planner.rs` x2, `svelte/runtime/css/render.rs` x1), all untouched. Evaluated against the fragment-assembly contract: stays the fragment-LOCAL edit engine (one original source, ordered chunks, own map emission); producers keep calling it to build one fragment's bytes+map. The NEW `crates/verter_compiler/src/assembly` module owns the layer above it (multi-fragment placement/splice/publish) — CodeTransform is not replaced, it is the thing assembly composes over.
EM-002	crates/verter_compiler/src/code_transform/source_map.rs	maps CodeTransform chunks to source-map tokens	Converged	B4	Retained per EM-001: still the sole per-fragment chunk-to-token mapper CodeTransform uses internally. `assembly::compose` composes ALREADY-EMITTED fragment maps (oxc_sourcemap `SourceMap`/`Token`), a distinct multi-fragment concern this file does not attempt.
EM-003	crates/verter_compiler/src/framework_common/generated_chunk.rs	splices generated fragments and composes two maps	Replaced (engine); Deferred (3 vue_bridge.rs call sites)	B4	Generalized as `crates/verter_compiler/src/assembly/compose.rs`: typed `Fragment`/`SyntacticContract`/`PlacementSlot::Hole` (a `FragmentRange`, not a bare `Range<u32>`) replace the ad hoc `GeneratedUnit`/`Range<u32>` pair; `splice_into_hole`/`prepend_preamble` replace `compose_generated_chunk`'s untyped `Option` return with a typed `ComposeRefusal`, preserve contributing maps' real `sources`/`sourcesContent`/`names`/ignore-list identity (no synthetic placeholder), and report a typed `AssembledOffset` placement fact; a third primitive, `assemble_sequence`, is the N-fragment sequential-placement engine (stable no-dedup table append + boundary-segment rule) built to replace `verter_session`'s session-private `MapComposer`/`ModuleWriter`/`FragmentWrite`, proven against that engine's own hardest pinned case (`map_tests.rs::vector_v4_stable_append_with_boundary_segments`'s no-dedup requirement). All framework-neutral, no Vue/Svelte-specific code. WIRED: `verter_session::compile.rs::assemble_vue_main_module` builds its script/template/scaffolding pieces as real, individually-validated `Fragment`s (deterministic role-based `SourceUnitId`s; the intermediate untyped `SequencedFragment` pair this row originally described is deleted — the live path passes `ValidatedFragment`s straight through to both `assemble_sequence` and `publish`), and publishes through `assembly::publish`; `MapComposer`/`ModuleWriter`/`FragmentWrite`/`SegmentOrigin` are deleted. `rewrite_script` returns a JSON map string and applies ONLY a producer-declared `SfcExportPlacement` fact (never a text scan for `__sfc__`/`export default`) — see `docs/arch/refactor/rev11/evidence/B4/debt-FC-B4-002-vue-main-module-composer-cutover.md` (RESOLVED) for the full closure record. The 3 live `vue_bridge.rs` call sites (~428/1083/1155) still call the legacy `generated_chunk::compose_generated_chunk` — see `docs/arch/refactor/rev11/evidence/B4/debt-FC-B4-001-generated-chunk-callsite-migration.md` for why converting them was deferred. `assembly::prepend_preamble` IS live in production, replacing the `verter_session` Template-slot `format!` import-inject bug (EM-040, `virtual_file_pipeline.rs`), with `compose_template_virtual_file` now failing closed (a typed `HOST_UNCOMPOSABLE_TEMPLATE_SOURCE_MAP` diagnostic) rather than silently dropping the map on a compose error.
EM-004	crates/verter_compiler/src/framework_common/generated_identifier.rs	neutral generated-name mechanics	Preserve	B4	Preserve only as neutral naming mechanics; framework plans retain semantic name ownership.
EM-005	crates/verter_compiler/src/framework_common/carrier_compiler.rs::{RuntimeOutputDescriptor,RuntimeCompileOutput,IdeOutput}	current cross-framework output/result contract	Converge	B3+B4	Converge into canonical request plus atomic artifact set; no universal options/fact authority survives.
EM-006	crates/verter_compiler/src/framework_common/registered_carrier_projection.rs and registry.rs	registered framework dispatch/projection	Converge	B2+B5	Keep neutral dispatch only; parsing and semantic/codegen owners remain framework-local.
EM-007	crates/verter_compiler/src/framework_common/vue_bridge.rs	Vue parse carrier, options conversion, compile/assembly bridge	Converge	B2+B3+BV1+B5	Split parse, canonical request conversion, Vue semantics, and direct route into their owning blocks.
EM-008	crates/verter_compiler/src/compile/mod.rs	current Vue orchestration and multi-product assembly	Replace	B5	Final sole direct core consumes accepted BV1 plans and B4 publication; no semantic repair in B5. Interim B4 increment landed: this file's `VerterScriptBlock` producers (Options API, Composition API, minimal/self-closing setup, template-only synthetic script) now declare an `assembly::fragment::SfcExportPlacement` fact for every `__sfc__` rename/export-removal target at write time, consumed by `verter_session`'s `rewrite_script` instead of a generated-text scan — the export-IDENTITY fact-declaration half of what this row's eventual replacement needs; the orchestration/multi-product assembly this row actually tracks is unchanged and still B5's to replace.
EM-009	crates/verter_compiler/src/compile/types.rs::{CodegenOptions,VerterCompileOptions,CompileTarget}	current options/target authority	Replace	B3	Replaced by canonical typed request and framework-local normalized options; no universal bag remains.
EM-010	crates/verter_compiler/src/script/*	Vue script preparation/macro/code emission	Converge	BV1	Converge into Vue semantic model/product plans with local macro and typed project-demand boundaries.
EM-011	crates/verter_compiler/src/template/code_gen/mod.rs,types.rs,walker.rs	Vue template dispatcher and shared Vue codegen mechanics	Converge	BV1	Allowed as Vue-local staged IR/mechanics; no Svelte consumer and no cross-framework IR.
EM-012	crates/verter_compiler/src/template/code_gen/vdom/*	Vue VDOM emitter	Converge	BV1	Correct against RC.3 VDOM pack and remove semantic divergences.
EM-013	crates/verter_compiler/src/template/code_gen/vapor/*	Vue Vapor emitter	Converge	BV1	Separate Vapor capability family and runtime-vapor topology.
EM-014	crates/verter_compiler/src/template/code_gen/ssr/*	Vue SSR emitter	Converge	BV1	Official compiler-ssr/server-renderer topology; no invented Vapor server backend.
EM-015	crates/verter_compiler/src/template/code_gen/binding.rs,expression.rs,shared/*	Vue binding/expression/helper emission	Converge	BV1	Remain Vue-owned and validated per VDOM/Vapor/SSR family.
EM-016	crates/verter_compiler/src/ide/*	current Vue IDE/TSX emitter	Converge	BV1	Converge into established Vue TypeScript-visible product plans and exact TS observations.
EM-017	crates/verter_compiler/src/tsc/*	current Vue TSC/declaration emission and maps	Converge	BV1+B4	BV1 owns product semantics; B4 owns mapping composition; language-tools excluded.
EM-018	crates/verter_compiler/src/css/* and style_planner.rs	current Vue style rewrite/output owners	Defer	J1+J2	CSS artifact ownership remains J1/J2; BV1 owns only framework semantic metadata and CSS effects on generated code.
EM-019	crates/verter_compiler/src/strip_types/*	JavaScript/TypeScript syntax stripping utility	Preserve	BV1+BS1	Preserve only as syntax utility with framework-owned invocation and independent output/map proof.
EM-020	crates/verter_compiler/src/svelte/carrier.rs	Svelte parse/eval/IDE/runtime carrier bridge	Converge	B2+B3+BS1+B5	Split responsibilities into parser, canonical request, Svelte plans, and sole direct route.
EM-021	SvelteCarrierCompiler::eval_source position-preserving script blanking	generated evaluation source by blanking authored SFC	Preserve	B4	B4 evidence: call-graph walk (`eval_source(` across the workspace, production only) shows every live caller is the typeinfo/shallow/prepared-decl script view (`verter_session::parse.rs::build_svelte_snapshot_from_eval_source`, `host_manage/prepared_decl.rs`, `host_manage/eval_env.rs`, `host_construction.rs`), never the compile/assembly/publish path — `compile_bundle`/`compile_ide`/`compile_registered_vue_artifact`/`assemble_vue_main_module`/`virtual_file_pipeline.rs::compile_entry` call it zero times. It was never a compile-product reconstruction mechanism in practice. Types/type-resolution work is waived program-wide, so the method and its callers are untouched; disposition corrected from Delete to Preserve.
EM-022	crates/verter_compiler/src/svelte/ide/*	Svelte IDE/TSX emission	Converge	BS1	Svelte-owned TypeScript-visible plan; no Vue semantic/helper assumptions.
EM-023	crates/verter_session/src/framework/api_projectors/svelte.rs	Svelte public/declaration projector and source-map builder	Converge	BS1+B4	BS1 owns product semantics; B4 owns source-space mapping; blanking cannot reconstruct semantic output.
EM-024	crates/verter_session/src/framework/api_projectors/vue.rs	Vue public/declaration projector	Converge	BV1+C3+B4	BV1 local semantics, C3 typed project projection, B4 maps.
EM-025	crates/verter_compiler/src/svelte/runtime/{ir.rs,ops.rs,lower_*.rs,client_plan*.rs,component_scope_facts.rs}	Svelte semantic/lowering/client plan owners	Converge	BS1	May remain narrow Svelte-local IRs; must prove no Vue dependency or assumption.
EM-026	crates/verter_compiler/src/svelte/runtime/{client_emit.rs,client_*_emit.rs,expr_emit.rs,template_serialize.rs}	Svelte client JavaScript emitters	Converge	BS1	Accepted only against exact helper/effect/block/event/component/DOM topology.
EM-027	crates/verter_compiler/src/svelte/runtime/{client_imports.rs,helpers.rs,render_callees.rs,naming.rs}	Svelte helper/import/callee/name emission	Converge	BS1	Official import sources/helper families/call order protected from normalization.
EM-028	crates/verter_compiler/src/svelte/runtime/css/render.rs	Svelte CSS renderer	Converge	BS1+J1+J2	BS1 proves generated-code effects; CSS owner blocks retain artifact policy.
EM-029	crates/verter_compiler/src/svelte/runtime/output.rs and client_output.rs	Svelte runtime output assembly	Replace	B4+BS1	Framework plan emits fragments; B4 performs final atomic assembly/publication.
EM-030	crates/verter_compiler/src/svelte/runtime/diff_oracle_divergences.rs	semantic known-divergence allowance owner	Delete	BS1	A successful supported cell retains no semantic known-divergence allowlist.
EM-031	crates/verter_compiler/src/svelte/runtime/{official_reject.rs,official_rule.rs,unsupported.rs,client_surface_refuse.rs}	current refusal/official-rule owners	Converge	BF3+B3+BS1	Interim guards are typed BF3 records; canonical capability rejection moves to B3; correction guards delete at BS1 acceptance.
EM-032	crates/verter_compiler/src/svelte/runtime server emitter (currently absent)	no current RuntimeServer producer	Defer	BS1	BS1 introduces a Svelte-owned server plan/emitter only after B4; no Vue SSR reuse.
EM-033	crates/verter_compiler/src/standalone.rs	legacy standalone compile route	Replace	B5	Converge callers onto sole direct compiler core or delete route.
EM-034	crates/verter_session/src/block_content.rs::{QualifiedBlockContentSourceMap,composed_map}	block-content map validation/composition/publication	Converge	B4	Adopt logical source units and exact assembly mapping; retain validation if it fits final source spaces.
EM-035	crates/verter_session/src/host_construction.rs eval_source assembly	position-preserving evaluation carrier assembly	Preserve	B4	Same evidence as EM-021: `host_construction.rs`'s `eval_source` parameter (~967-1034) feeds the shallow/typeinfo `IndexedReady` construction, not compile/publish. It is a fact input to type resolution (waived program-wide), not a compile artifact this charter's "no generated-product reparsing" clause governs. Disposition corrected from Delete to Preserve.
EM-036	crates/verter_session/src/types.rs::{SourceMapPolicy,CompiledArtifact source_map fields}	request/cache/output map carriers	Converge	B3+B4	B3 canonicalizes request policy; B4 owns composed maps and atomic artifact shape.
EM-037	crates/verter_compiler/src/sourcemap_e2e_tests.rs and framework_common/sourcemap_e2e_helpers.rs	current mapping validation harness	Preserve	BF2+B4	Preserve useful discriminating checks, rebind to exact source spaces and official cases; never acceptance alone.
EM-038	crates/verter_session/src/compile.rs::assemble_vue_main_module	shipped host-owned Vue main-module import/render/HMR assembly	Replace	BV1+B4+B5	Replace host text rewriting and final-module assembly with BV1-owned Vue fragments assembled and atomically published by B4 through the sole B5 direct core; no second session assembly path survives. Interim B4 increments landed: (1) the `template.code.contains("function ssrRender(")`/`"function render("` generated-product reparse this row's own "no second session assembly path" language forbids is deleted — the export binding now comes from `RuntimeTemplateBlock::render_export: TemplateRenderExport`, a fact declared by the codegen backend (`crates/verter_compiler/src/compile/mod.rs`) and threaded through unchanged; (2) the `__sfc__`→`_sfc_main` rename and the terminal `export default` removal are likewise no longer a generated-text scan — every runtime-emission site (`script/process.rs`, plus the template-only synthetic script and `empty_sfc_script_block` in `verter_compiler`'s `compile` module) declares an `assembly::fragment::SfcExportPlacement` fact at write time, threaded through `VerterScriptBlock`/`RuntimeScriptBlock` unchanged, and `assemble_vue_main_module` now builds its fragments through `assembly::compose::assemble_sequence` and publishes through `assembly::publish` (atomicity + final-parse checks) rather than the session-private `MapComposer`/`ModuleWriter`/`FragmentWrite` — see `docs/arch/refactor/rev11/evidence/B4/debt-FC-B4-002-vue-main-module-composer-cutover.md` (RESOLVED). Full BV1-fragment/B5-publish migration (moving fragment OWNERSHIP itself to BV1, not just the export-identity facts) is still future work.
EM-039	crates/verter_compiler/src/svelte/runtime/client.rs and client_module_frame.rs	primary Svelte client module, import-prelude, root-factory, body, epilogue, and source-map emitters	Converge	BS1+B4	Keep Svelte-owned plan-to-fragment emission and protected module topology under BS1; B4 owns final fragment assembly, source-space map composition, and atomic publication.
EM-040	crates/verter_session/src/host_resolve/virtual_file_pipeline.rs::compile_entry	current session Main/Script/Template/Style/Custom and IDE artifact assembly, Template import injection, and map selection/attachment	Replace	B4+B5+C4	B4's atomic artifact set replaces host reconstruction and map reattachment; the session becomes a thin serving route over B5 results, and C4 proves project-aware route identity without a second assembly owner. Interim B4 increment landed: the Template-slot import-inject (`~3376-3390`) prepended `format!("import {{ {} }} from ...")` text ahead of `template.code` WITHOUT adjusting the already-produced map (a `CodeTransform`-single-source-of-truth violation — every mapped position desynced by one line whenever the template declared runtime imports). Now routed through `assembly::prepend_preamble`, which decodes/shifts/re-encodes the map. Script/Style/Custom/IDE slot construction and the map-selection/attachment plumbing elsewhere in `compile_entry` are unchanged — those slots are NOT wired onto B4's `ArtifactSet` in any form, wired or interim. Main-slot construction: `compile_entry` still calls `assemble_vue_main_module` directly (unchanged call site — the stable entry point external callers like `verter_vue_conformance` already depend on), but that function's OWN internals now build an `ArtifactSet` via `assembly::publish` and unwrap it, so the Main slot's bytes flow through B4's atomicity/final-parse checks one call away rather than not at all. `AssembledVueModule`'s return shape is NOT unchanged, though: a hardening round added a `lang: String` field (the module's derived dialect, reused by both call sites in this file instead of each independently re-deriving `main_lang`) alongside the existing `code`/`source_map` fields. That same hardening round (see `debt-FC-B4-002`'s addendum) closed the Main slot's remaining gaps: it now composes real, individually-validated `Fragment`s (not a raw code/map pair), returns a typed `VueMainAssemblyFailure` instead of panicking on a malformed producer-supplied byte (including the one remaining `.expect()` a later review round found and closed — same addendum), and validates/final-parses under the module's own derived dialect instead of a fixed permissive default. None of this extends past the Main slot — Script/Template/Style/Custom/IDE slot construction and the request-wide multi-slot `ArtifactSet` cutover this row's disposition actually names are still fully future work (BV1/BS1 own those slots' emission topology; touching them is out of this charter's "no Vue/Svelte semantics" bound), owned jointly with B5 (direct core) and C4 (project-aware route identity) per this row's disposition.
EM-041	crates/verter_compiler/src/svelte/runtime/expr_rewrite/*	Svelte expression/script rewrite emitter and expression-local source-range authority	Converge	BS1+B4	BS1 retains Svelte scope-aware reactive rewrite semantics and typed refusal; B4 integrates the emitted ranges into canonical source-space composition so no expression-local map authority escapes fragment assembly.
EM-042	crates/verter_compiler/src/svelte/runtime/client_event.rs	Svelte event registration, wrapper, and delegate-epilogue emitter	Converge	BS1+B4	BS1 owns official event/helper/call topology; emitted mapped handler fragments enter B4's canonical fragment and map assembly path.
EM-043	crates/verter_compiler/src/svelte/runtime/client_effect.rs	Svelte template-effect memoization and mapped effect-body emitter	Converge	BS1+B4	BS1 owns effect grouping, dependency, and call topology; B4 owns final placement, source-space map composition, and atomic publication of its mapped fragments.
EM-044	crates/verter_compiler/src/compile/helpers.rs::empty_sfc_script_block	Vue empty-SFC synthetic runtime-module emitter	Converge	BV1+B4	BV1 retains the valid empty-component semantics and exact Vue shell topology as a Vue-owned plan; B4 assembles and atomically publishes its synthetic fragments without a hidden final-module owner.
