owner_struct	source	field	class	rationale
HostConfig	crates/verter_session/src/types.rs:500	dev_mode	output	Selects DevServeLastKnownGood + __file injection: changes generated program semantics.
HostConfig	crates/verter_session/src/types.rs:500	compile_error_policy	output	Strict vs last-known-good fallback changes the emitted artifact on error.
HostConfig	crates/verter_session/src/types.rs:500	lsp_scheme	presentation	URI scheme prefix for virtual file ids; affects displayed/exchanged identifiers only.
HostConfig	crates/verter_session/src/types.rs:500	max_profiles_per_file	execution-only	LRU cache bound. Must not change a Complete result.
HostConfig	crates/verter_session/src/types.rs:500	resolve_extensions	semantic	Extension priority decides which file an import resolves to. Already folded into resolve_env_hash.
HostConfig	crates/verter_session/src/types.rs:500	analysis_level	semantic	Deprecated alias for analysis_scope; selects which analysis passes run, so it changes available facts.
HostConfig	crates/verter_session/src/types.rs:500	analysis_scope	semantic	Bitset selecting analysis passes; None falls back to analysis_level.to_scope().
HostConfig	crates/verter_session/src/types.rs:500	generic_root_propagation	semantic	Enables call-site-driven root specialization in fallthrough resolution.
HostConfig	crates/verter_session/src/types.rs:500	audit_enabled	execution-only	Observability. Must never change a result.
HostConfig	crates/verter_session/src/types.rs:500	footprint_capture	execution-only	Observability; requires audit_enabled.
HostConfig	crates/verter_session/src/types.rs:500	audit_timing_capture	execution-only	Observability + RSS sampler thread; native only.
HostConfig	crates/verter_session/src/types.rs:500	max_derivation_edges	execution-only	Truncation bound on the audit miner; sets has_orphan_edges.
HostConfig	crates/verter_session/src/types.rs:500	audit_caps	execution-only	Per-category caps on audit accumulator lanes.
HostConfig	crates/verter_session/src/types.rs:500	depth_budget	execution-only	Traversal depth budget. Exhaustion must be partial/failure, never a different Complete value.
HostConfig	crates/verter_session/src/types.rs:500	projection_op_budget	execution-only	Projection op budget; trip returns BudgetExceeded and is refused warm admission.
HostConfig	crates/verter_session/src/types.rs:500	eviction_policy	execution-only	Cache eviction tunables.
HostConfig	crates/verter_session/src/types.rs:500	lsp_method_timeouts	execution-only	Per-method deadlines.
HostConfig	crates/verter_session/src/types.rs:500	external_resolution_step_budget	execution-only	Step budget for external resolution.
HostConfig	crates/verter_session/src/types.rs:500	recursion_budget_overrides	execution-only	Recursion budgets.
HostConfig	crates/verter_session/src/types.rs:500	typeinfo_scratch_cache_capacity	execution-only	Scratch cache capacity.
HostConfig	crates/verter_session/src/types.rs:500	host_cpu_threads	execution-only	Pool sizing.
HostConfig	crates/verter_session/src/types.rs:500	query_profile	semantic	Via HostConfig::from_query_profile it seeds analysis_scope from recommended_analysis_scope_bits, so it can change which analysis facts exist. The live host slot is set/read but its three behavioural predicates have NO production reader - see note QP-1.
HostConfig	crates/verter_session/src/types.rs:500	resource_policy	execution-only	Resource limits.
HostConfig	crates/verter_session/src/types.rs:500	recursion_budget_overrides.synthesis_steps	execution-only	Synthesis step bound.
HostConfig	crates/verter_session/src/types.rs:500	recursion_budget_overrides.walker_pathological_cap	execution-only	Pathological-input cap.
HostConfig	crates/verter_session/src/types.rs:500	resource_policy.{host_cpu_pool,decl_lowering}.{spawn,size}	execution-only	Pool spawn/size/policy quadruple.
CompileProfile	crates/verter_session/src/types.rs:1322	filename	output	Feeds component name/id derivation and source-map filenames; observable in output bytes.
CompileProfile	crates/verter_session/src/types.rs:1322	is_production	output	Strips dev-only code; also the default for comments and inline.
CompileProfile	crates/verter_session/src/types.rs:1322	custom_element	output	Script runtime-prop policy axis.
CompileProfile	crates/verter_session/src/types.rs:1322	ssr	output	Selects the SSR backend.
CompileProfile	crates/verter_session/src/types.rs:1322	ssr_module_id	output	Registered on ssrContext.modules; appears in output.
CompileProfile	crates/verter_session/src/types.rs:1322	hmr_strategy	output	HMR code injection strategy.
CompileProfile	crates/verter_session/src/types.rs:1322	component_id	output	Scoped-style hash input; appears in output.
CompileProfile	crates/verter_session/src/types.rs:1322	delimiters	semantic	Changes how the SFC tokenizes: a template extracted under it is a DIFFERENT parse. has_parse_affecting_template_options().
CompileProfile	crates/verter_session/src/types.rs:1322	custom_elements	semantic	Same: parse-affecting, and decides component resolution.
CompileProfile	crates/verter_session/src/types.rs:1322	comments	output	Preserve/strip HTML comments.
CompileProfile	crates/verter_session/src/types.rs:1322	runtime_module_name	output	Import specifier in emitted code.
CompileProfile	crates/verter_session/src/types.rs:1322	types_module_name	output	Import specifier in emitted TSX.
CompileProfile	crates/verter_session/src/types.rs:1322	force_vapor	output	Forces Vapor codegen.
CompileProfile	crates/verter_session/src/types.rs:1322	force_js	output	Strips TS annotations from output.
CompileProfile	crates/verter_session/src/types.rs:1322	inline	output	Inline render fn in setup(); VDOM-only, Vapor/SSR fall back.
CompileProfile	crates/verter_session/src/types.rs:1322	source_map	serialization	Whether a map is produced. NOTE SM-1: required IDE maps may not be skipped by a runtime-map flag (B4).
CompileProfile	crates/verter_session/src/types.rs:1322	target	output	CompileTarget bitflags select which codegen steps run.
CompileProfile	crates/verter_session/src/types.rs:1322	embed_ambient_types	output	Embeds declare module block in TSX.
CompileProfile	crates/verter_session/src/types.rs:1322	conditional_root_narrowing	semantic	Experimental: changes root generic narrowing, i.e. inferred types.
CompileProfile	crates/verter_session/src/types.rs:1322	strict_slots	semantic	Emits strictRenderSlot calls that enforce typed slot children: changes what type-checks.
CompileProfile	crates/verter_session/src/types.rs:1322	svelte_css_hash_override	output	Resolved cssHash scope class; verbatim in output. Present value makes Content mode non-admissible.
CompileProfile	crates/verter_session/src/types.rs:1322	requested_mode	execution-only	Requested compile cache mode; host may downgrade. Must not change output bytes.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	filename	output	As CompileProfile.filename.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	is_production	output	As CompileProfile.is_production.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	custom_element	output	As CompileProfile.custom_element.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	component_id	output	As CompileProfile.component_id.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	target	output	As CompileProfile.target.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	skip_source_map	serialization	Skips map generation/base64. See NOTE SM-1.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	ide_chunk_boundaries	output	Emits typed IDE chunk boundaries.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	delimiters	semantic	Parse-affecting.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	custom_elements	semantic	Parse-affecting + resolution-affecting.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	comments	output	Preserve/strip comments.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	runtime_module_name	output	Emitted import specifier.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	types_module_name	output	Emitted import specifier.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	hoist_static	output	Hoists static VNodes/props: changes helper topology (a conformance-structural axis).
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	whitespace	output	Whitespace strategy: changes emitted template payload.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	cache_handlers	output	Caches event handlers: changes memoization topology.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	inline	output	Inline render fn.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	slotted	output	Signals :slotted() usage in styles.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	prefix_identifiers	output	Adds _ctx./$setup. prefixes.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	embed_ambient_types	output	Embeds ambient module block.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	conditional_root_narrowing	semantic	As CompileProfile.
CodegenOptions	crates/verter_compiler/src/compile/types.rs:176	strict_slots	semantic	As CompileProfile.
IdeProjectCompilerOptions	crates/verter_workspace/src/resolver.rs:30	base_url	semantic	Module resolution basis. Folded into resolve_env_hash.
IdeProjectCompilerOptions	crates/verter_workspace/src/resolver.rs:30	paths	semantic	Path mapping. Folded into resolve_env_hash.
IdeProjectCompilerOptions	crates/verter_workspace/src/resolver.rs:30	allow_js	semantic	Decides project membership for .js/.jsx/.cjs/.mjs.
IdeProjectCompilerOptions	crates/verter_workspace/src/resolver.rs:30	check_js	semantic	Implies allowJs for membership and turns on JS checking.
IdeProjectCompilerOptions	crates/verter_workspace/src/resolver.rs:30	allow_importing_ts_extensions	semantic	Decides whether tsserver publication preserves authored .vue/.svelte specifiers or applies the .verter.ts rewrite.
IdeProjectCompilerOptions	crates/verter_workspace/src/resolver.rs:30	disable_solution_searching	semantic	Changes default-project owner selection (tsgo DisableSolutionSearching).
EnvHashInputs	crates/verter_workspace/src/env_hash.rs:68	parser_flags	semantic	Sole parse_env_hash input today.
EnvHashInputs	crates/verter_workspace/src/env_hash.rs:68	resolve_extensions	semantic	resolve_env_hash.
EnvHashInputs	crates/verter_workspace/src/env_hash.rs:68	type_strict	semantic	type_env_hash. NO PRODUCTION INGRESS - hardcoded false at all 3 sites (finding D-4).
EnvHashInputs	crates/verter_workspace/src/env_hash.rs:68	type_no_implicit_any	semantic	type_env_hash. NO PRODUCTION INGRESS - hardcoded false (finding D-4).
EnvHashInputs	crates/verter_workspace/src/env_hash.rs:68	lib_names	semantic	lib_env_hash. NO PRODUCTION INGRESS - hardcoded empty (finding D-4).
EnvHashInputs	crates/verter_workspace/src/env_hash.rs:68	type_roots	semantic	lib_env_hash. NO PRODUCTION INGRESS - hardcoded empty (finding D-4).
EnvHashInputs	crates/verter_workspace/src/env_hash.rs:68	module_resolution_mode	semantic	resolve_env_hash. Hardcoded to default at all 3 sites.
